sic_code,industry_x,non_UK_workforce,vacancy_rate,ssv_density,med_annual_wage_differential,visa_grants,jobs_at_risk_of_automation,seasonality,scenario,cluster_label,dist_to_centroid,industry_y,baseline_cluster_label,baseline_dist_to_centroid,drift,cluster_changed
B,Mining and Quarrying,0.1,0.0349125,0.29603155087706007,14419.199999999999,612.75,0.24255000000000002,2,high_automation,1,0.8480369612607007,Mining and Quarrying,1,1.1142604498499917,-0.266223488589291,False
C,Manufacturing,0.13299999999999998,0.021462500000000002,0.36485041848213573,-13.200000000000001,6476.400000000001,0.6032000000000001,2,high_automation,0,1.8333381604235415,Manufacturing,0,1.3981565458912608,0.43518161453228066,False
D,"Electricity, gas, steam and air conditioning supply",0.1,0.03277499999999999,0.2586055217108652,18679.2,1043.1,0.33390000000000003,3,high_automation,1,1.2783099825843787,"Electricity, gas, steam and air conditioning supply",1,1.021801405320585,0.2565085772637936,False
E,"Water supply, sewerage, waste management and remediation activities",0.1,0.021599999999999998,0.13931100287369322,1569.0,120.0,0.7825,1,high_automation,3,2.400315619982526,"Water supply, sewerage, waste management and remediation activities",3,1.34840097207928,1.0519146479032462,False
F,Construction,0.108,0.024,0.4470927493634573,3043.0,3428.5499999999997,0.24885,2,high_automation,5,1.6506895344019692,Construction,5,1.6310162536140997,0.01967328078786945,False
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.11199999999999999,0.0204,0.26664832859643617,-5498.900000000001,4428.0,0.5720000000000001,3,high_automation,0,2.4057773607265966,Wholesale and retail trade; repair of motor vehicles and motorcycles,0,1.4667188749938782,0.9390584857327184,False
H,Transportation and storage,0.161,0.018487499999999997,0.2556771594174877,-69.30000000000001,2186.1,0.7332,2,high_automation,0,2.7678532894969354,Transportation and storage,0,1.1998035657326676,1.5680497237642679,False
I,Accommodation and food service activities,0.24,0.033975,0.26566271475477227,-10384.0,6066.75,0.2805,3,high_automation,6,1.1525581409075787,Accommodation and food service activities,6,0.0,1.1525581409075787,False
J,Information and communication,0.198,0.02775,0.3754493602254778,9771.0,10901.25,0.28665,1,high_automation,4,1.082957505111228,Information and communication,4,1.0928808697709576,-0.00992336465972965,False
K,Financial and insurance activities,0.17,0.029449999999999997,0.20823535568308535,15882.0,8007.549999999999,0.3381,2,high_automation,1,1.5976428206500812,Financial and insurance activities,1,1.3504668954170138,0.24717592523306742,False
L,Real estate activities,0.117,0.023,0.313633623140543,-2287.0,605.15,0.2961,3,high_automation,5,1.2433149497771763,Real estate activities,5,1.2056028533324883,0.03771209644468798,False
M,"Professional, scientific and technical activities",0.162,0.029249999999999998,0.3095906944953731,6491.0,10692.25,0.26880000000000004,1,high_automation,4,0.8312717561086477,"Professional, scientific and technical activities",4,0.673564952587291,0.1577068035213567,False
N,Administrative and support service activities,0.23099999999999998,0.019549999999999998,0.2704185500237024,-4359.3,9787.5,0.4862,2,high_automation,0,1.346516042818366,Administrative and support service activities,0,1.7573696422886493,-0.4108535994702833,False
O,Public administration and defence; compulsory social security,0.06,0.016,0.13454058652400988,1842.0,517.0,0.40125,1,high_automation,3,1.5999142153631658,Public administration and defence; compulsory social security,3,1.3484009720792798,0.251513243283886,False
P,Education,0.108,0.02,0.3696373661899575,1400.0,8074.049999999999,0.08925000000000001,3,high_automation,5,1.26235275275517,Education,5,1.2986169724782062,-0.036264219723036284,False
Q,Human health and social work activities,0.2,0.029475,0.3046290602191995,-3044.8,21043.5,0.18700000000000003,3,high_automation,2,1.2453960148162582,Human health and social work activities,2,1.2771172093973293,-0.031721194581071144,False
R,"Arts, entertainment and recreation",0.081,0.02025,0.26158055556882365,-4962.0,8548.1,0.23415000000000002,2,high_automation,5,1.6062341328262546,"Arts, entertainment and recreation",5,1.5804447532811314,0.02578937954512317,False
S,Other service activities,0.18000000000000002,0.02675,0.32466570547164353,-5270.0,9191.25,0.1953,1,high_automation,4,1.4024688903997649,Other service activities,4,1.3842110621734736,0.018257828226291295,False
A,"Agriculture, Forestry and Fishing",0.192,0.028600000000000004,0.4400576983889076,-5046.299999999999,34071.25,0.16829999999999998,3,low_automation,2,1.2435686621031707,"Agriculture, Forestry and Fishing",2,1.277117209397329,-0.03354854729415835,False
B,Mining and Quarrying,0.1,0.0385875,0.32719276675885595,9612.800000000001,677.25,0.21945,2,low_automation,1,1.529268523548586,Mining and Quarrying,1,1.1142604498499917,0.41500807369859416,False
C,Manufacturing,0.24700000000000003,0.029037500000000004,0.4936211544170071,-10.799999999999999,7915.6,0.3248,2,low_automation,0,2.5399979877293686,Manufacturing,0,1.3981565458912608,1.1418414418381078,False
D,"Electricity, gas, steam and air conditioning supply",0.1,0.036225,0.28582715557516686,12452.800000000001,1152.9,0.3021,3,low_automation,1,1.0763224402047273,"Electricity, gas, steam and air conditioning supply",1,1.021801405320585,0.05452103488414228,False
E,"Water supply, sewerage, waste management and remediation activities",0.1,0.03239999999999999,0.20896650431053979,1569.0,120.0,0.46950000000000003,1,low_automation,3,1.7549342682616853,"Water supply, sewerage, waste management and remediation activities",3,1.34840097207928,0.4065332961824053,False
F,Construction,0.132,0.024,0.4470927493634573,3043.0,3789.4500000000003,0.22515,2,low_automation,5,1.6338119473316877,Construction,5,1.6310162536140997,0.0027956937175879215,False
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.20800000000000002,0.027600000000000003,0.3607595033951783,-4499.099999999999,5412.0,0.308,3,low_automation,0,1.751320264817417,Wholesale and retail trade; repair of motor vehicles and motorcycles,0,1.4667188749938782,0.2846013898235389,False
H,Transportation and storage,0.29900000000000004,0.025012499999999997,0.34591615685895394,-56.699999999999996,2671.9,0.39479999999999993,2,low_automation,0,1.3279595304375438,Transportation and storage,0,1.1998035657326676,0.12815596470487622,False
I,Accommodation and food service activities,0.36,0.041525,0.26566271475477227,-8496.0,10111.25,0.22949999999999998,3,low_automation,6,1.152558140907579,Accommodation and food service activities,6,0.0,1.152558140907579,False
J,Information and communication,0.24200000000000002,0.02775,0.3754493602254778,9771.0,12048.75,0.25935,1,low_automation,4,1.1994844482753895,Information and communication,4,1.0928808697709576,0.10660357850443192,False
K,Financial and insurance activities,0.17,0.03255,0.23015486680762068,10588.0,8850.45,0.3059,2,low_automation,1,1.2772897112800885,Financial and insurance activities,1,1.3504668954170138,-0.07317718413692531,False
L,Real estate activities,0.14300000000000002,0.023,0.313633623140543,-2287.0,668.85,0.26789999999999997,3,low_automation,5,1.2042441266191133,Real estate activities,5,1.2056028533324883,-0.0013587267133750025,False
M,"Professional, scientific and technical activities",0.198,0.029249999999999998,0.3095906944953731,6491.0,11817.75,0.2432,1,low_automation,4,0.6108312569921346,"Professional, scientific and technical activities",4,0.673564952587291,-0.0627336955951564,False
N,Administrative and support service activities,0.42900000000000005,0.026449999999999998,0.3658603912085385,-3566.7,11962.500000000002,0.2618,2,low_automation,0,3.3618844672404427,Administrative and support service activities,0,1.7573696422886493,1.6045148249517933,False
O,Public administration and defence; compulsory social security,0.06,0.024,0.20181087978601484,1842.0,517.0,0.24075000000000002,1,low_automation,3,1.8175398030250416,Public administration and defence; compulsory social security,3,1.3484009720792798,0.4691388309457618,False
P,Education,0.132,0.02,0.3696373661899575,1400.0,8923.95,0.08075,3,low_automation,5,1.357974674117773,Education,5,1.2986169724782062,0.05935770163956677,False
Q,Human health and social work activities,0.3,0.036025,0.3046290602191995,-2491.2,35072.5,0.153,3,low_automation,2,2.2615362592760295,Human health and social work activities,2,1.2771172093973293,0.9844190498787002,False
R,"Arts, entertainment and recreation",0.099,0.02025,0.26158055556882365,-4962.0,9447.9,0.21184999999999998,2,low_automation,5,1.5710844906652484,"Arts, entertainment and recreation",5,1.5804447532811314,-0.009360262615883075,False
S,Other service activities,0.22000000000000003,0.02675,0.32466570547164353,-5270.0,10158.75,0.1767,1,low_automation,4,1.4284275199320604,Other service activities,4,1.3842110621734736,0.04421645775858685,False
