sic_code,industry_x,non_UK_workforce,vacancy_rate,ssv_density,med_annual_wage_differential,visa_grants,jobs_at_risk_of_automation,seasonality,scenario,cluster_label,dist_to_centroid,industry_y,baseline_cluster_label,baseline_dist_to_centroid,drift,cluster_changed
C,Manufacturing,0.20900000000000002,0.023987500000000005,0.42923578644957144,-12.0,8635.199999999999,0.41759999999999997,4,facilitative_policy,0,2.5805906674685355,Manufacturing,0,1.3981565458912608,1.1824341215772747,False
D,"Electricity, gas, steam and air conditioning supply",0.10500000000000001,0.03277499999999999,0.2586055217108652,14009.399999999998,1207.8000000000002,0.318,9,facilitative_policy,1,8.478953500175061,"Electricity, gas, steam and air conditioning supply",1,1.021801405320585,7.457152094854476,False
E,"Water supply, sewerage, waste management and remediation activities",0.1,0.028349999999999997,0.18284569127172234,1569.0,120.0,0.5947,1,facilitative_policy,3,1.322531764458168,"Water supply, sewerage, waste management and remediation activities",3,1.34840097207928,-0.025869207621112,False
F,Construction,0.12,0.024,0.4470927493634573,3043.0,3789.4500000000003,0.24885,4,facilitative_policy,5,2.4333791615612266,Construction,5,1.6310162536140997,0.8023629079471268,False
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.17600000000000002,0.022800000000000004,0.31370391599580727,-4999.0,5904.0,0.39599999999999996,9,facilitative_policy,2,8.415794125127084,Wholesale and retail trade; repair of motor vehicles and motorcycles,0,1.4667188749938782,6.949075250133205,True
H,Transportation and storage,0.25300000000000006,0.020662499999999997,0.3007966581382208,-63.0,2914.7999999999997,0.5075999999999999,4,facilitative_policy,0,2.456920504046883,Transportation and storage,0,1.1998035657326676,1.2571169383142156,False
I,Accommodation and food service activities,0.345,0.032087500000000005,0.23909644327929502,-8968.0,8493.45,0.24225,9,facilitative_policy,6,7.724596960449893,Accommodation and food service activities,6,0.0,7.724596960449893,False
J,Information and communication,0.24200000000000002,0.024974999999999997,0.33790442420293,9282.449999999999,13770.0,0.2457,1,facilitative_policy,4,1.2076842513840833,Information and communication,4,1.0928808697709576,0.11480338161312575,False
K,Financial and insurance activities,0.17850000000000002,0.029449999999999997,0.20823535568308535,11911.499999999998,9271.900000000001,0.322,4,facilitative_policy,1,2.6685219738543218,Financial and insurance activities,1,1.3504668954170138,1.318055078437308,False
L,Real estate activities,0.13,0.023,0.313633623140543,-2287.0,668.85,0.2961,9,facilitative_policy,5,8.322663875964428,Real estate activities,5,1.2056028533324883,7.11706102263194,False
M,"Professional, scientific and technical activities",0.198,0.026324999999999994,0.2786316250458357,6166.45,13506.0,0.2304,1,facilitative_policy,4,0.9597233226825846,"Professional, scientific and technical activities",4,0.673564952587291,0.28615837009529366,False
N,Administrative and support service activities,0.36300000000000004,0.021849999999999998,0.31813947061612047,-3963.0,13050.0,0.33659999999999995,4,facilitative_policy,0,3.2259268155508947,Administrative and support service activities,0,1.7573696422886493,1.4685571732622453,False
O,Public administration and defence; compulsory social security,0.06,0.021,0.176584519812763,1842.0,517.0,0.30495,1,facilitative_policy,3,1.3797054714962553,Public administration and defence; compulsory social security,3,1.3484009720792798,0.03130449941697555,False
P,Education,0.12,0.02,0.3696373661899575,1400.0,8923.95,0.08925000000000001,9,facilitative_policy,5,8.328438235589871,Education,5,1.2986169724782062,7.029821263111665,False
Q,Human health and social work activities,0.3,0.0262,0.2437032481753596,-2214.4,39281.2,0.1615,9,facilitative_policy,2,8.082820237901267,Human health and social work activities,2,1.2771172093973293,6.805703028503937,False
R,"Arts, entertainment and recreation",0.09,0.02025,0.26158055556882365,-4962.0,9447.9,0.23415000000000002,4,facilitative_policy,5,2.409381126466883,"Arts, entertainment and recreation",5,1.5804447532811314,0.8289363731857515,False
S,Other service activities,0.22000000000000003,0.024074999999999996,0.29219913492447913,-5006.5,11610.0,0.1674,1,facilitative_policy,4,1.6721848886541937,Other service activities,4,1.3842110621734736,0.2879738264807201,False
A,"Agriculture, Forestry and Fishing",0.128,0.023400000000000004,0.4400576983889076,-6167.700000000001,20442.75,0.20570000000000002,9,high_automation,2,7.8869494251721965,"Agriculture, Forestry and Fishing",2,1.277117209397329,6.609832215774867,False
B,Mining and Quarrying,0.1,0.0349125,0.29603155087706007,14419.199999999999,612.75,0.24255000000000002,4,high_automation,1,2.2398182371083886,Mining and Quarrying,1,1.1142604498499917,1.1255577872583968,False
C,Manufacturing,0.13299999999999998,0.021462500000000002,0.36485041848213573,-13.200000000000001,6476.400000000001,0.6032000000000001,4,high_automation,0,2.8628570063900507,Manufacturing,0,1.3981565458912608,1.4647004604987899,False
D,"Electricity, gas, steam and air conditioning supply",0.1,0.03277499999999999,0.2586055217108652,18679.2,1043.1,0.33390000000000003,9,high_automation,1,8.517322977161848,"Electricity, gas, steam and air conditioning supply",1,1.021801405320585,7.495521571841263,False
E,"Water supply, sewerage, waste management and remediation activities",0.1,0.021599999999999998,0.13931100287369322,1569.0,120.0,0.7825,1,high_automation,3,2.400315619982526,"Water supply, sewerage, waste management and remediation activities",3,1.34840097207928,1.0519146479032462,False
F,Construction,0.108,0.024,0.4470927493634573,3043.0,3428.5499999999997,0.24885,4,high_automation,5,2.4388501849639055,Construction,5,1.6310162536140997,0.8078339313498057,False
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.11199999999999999,0.0204,0.26664832859643617,-5498.900000000001,4428.0,0.5720000000000001,9,high_automation,5,8.792896451357551,Wholesale and retail trade; repair of motor vehicles and motorcycles,0,1.4667188749938782,7.326177576363673,True
H,Transportation and storage,0.161,0.018487499999999997,0.2556771594174877,-69.30000000000001,2186.1,0.7332,4,high_automation,0,3.534944590902442,Transportation and storage,0,1.1998035657326676,2.3351410251697744,False
I,Accommodation and food service activities,0.24,0.033975,0.26566271475477227,-10384.0,6066.75,0.2805,9,high_automation,6,7.703651563448952,Accommodation and food service activities,6,0.0,7.703651563448952,False
J,Information and communication,0.198,0.02775,0.3754493602254778,9771.0,10901.25,0.28665,1,high_automation,4,1.082957505111228,Information and communication,4,1.0928808697709576,-0.00992336465972965,False
K,Financial and insurance activities,0.17,0.029449999999999997,0.20823535568308535,15882.0,8007.549999999999,0.3381,4,high_automation,1,2.6172660602227267,Financial and insurance activities,1,1.3504668954170138,1.2667991648057129,False
L,Real estate activities,0.117,0.023,0.313633623140543,-2287.0,605.15,0.2961,9,high_automation,5,8.320656949083974,Real estate activities,5,1.2056028533324883,7.115054095751486,False
M,"Professional, scientific and technical activities",0.162,0.029249999999999998,0.3095906944953731,6491.0,10692.25,0.26880000000000004,1,high_automation,4,0.8312717561086477,"Professional, scientific and technical activities",4,0.673564952587291,0.1577068035213567,False
N,Administrative and support service activities,0.23099999999999998,0.019549999999999998,0.2704185500237024,-4359.3,9787.5,0.4862,4,high_automation,0,2.578357400000756,Administrative and support service activities,0,1.7573696422886493,0.8209877577121067,False
O,Public administration and defence; compulsory social security,0.06,0.016,0.13454058652400988,1842.0,517.0,0.40125,1,high_automation,3,1.5999142153631658,Public administration and defence; compulsory social security,3,1.3484009720792798,0.251513243283886,False
P,Education,0.108,0.02,0.3696373661899575,1400.0,8074.049999999999,0.08925000000000001,9,high_automation,5,8.32352296040496,Education,5,1.2986169724782062,7.024905987926753,False
Q,Human health and social work activities,0.2,0.029475,0.3046290602191995,-3044.8,21043.5,0.18700000000000003,9,high_automation,2,7.718087093093558,Human health and social work activities,2,1.2771172093973293,6.440969883696229,False
R,"Arts, entertainment and recreation",0.081,0.02025,0.26158055556882365,-4962.0,8548.1,0.23415000000000002,4,high_automation,5,2.408983680968054,"Arts, entertainment and recreation",5,1.5804447532811314,0.8285389276869226,False
S,Other service activities,0.18000000000000002,0.02675,0.32466570547164353,-5270.0,9191.25,0.1953,1,high_automation,4,1.4024688903997649,Other service activities,4,1.3842110621734736,0.018257828226291295,False
A,"Agriculture, Forestry and Fishing",0.192,0.028600000000000004,0.4400576983889076,-5046.299999999999,34071.25,0.16829999999999998,9,low_automation,2,7.7177924408617145,"Agriculture, Forestry and Fishing",2,1.277117209397329,6.440675231464385,False
B,Mining and Quarrying,0.1,0.0385875,0.32719276675885595,9612.800000000001,677.25,0.21945,4,low_automation,1,2.576098069704552,Mining and Quarrying,1,1.1142604498499917,1.4618376198545602,False
C,Manufacturing,0.24700000000000003,0.029037500000000004,0.4936211544170071,-10.799999999999999,7915.6,0.3248,4,low_automation,0,3.3595254436066813,Manufacturing,0,1.3981565458912608,1.9613688977154204,False
D,"Electricity, gas, steam and air conditioning supply",0.1,0.036225,0.28582715557516686,12452.800000000001,1152.9,0.3021,9,low_automation,1,8.489357118239434,"Electricity, gas, steam and air conditioning supply",1,1.021801405320585,7.467555712918849,False
E,"Water supply, sewerage, waste management and remediation activities",0.1,0.03239999999999999,0.20896650431053979,1569.0,120.0,0.46950000000000003,1,low_automation,3,1.7549342682616853,"Water supply, sewerage, waste management and remediation activities",3,1.34840097207928,0.4065332961824053,False
F,Construction,0.132,0.024,0.4470927493634573,3043.0,3789.4500000000003,0.22515,4,low_automation,5,2.4274587050984096,Construction,5,1.6310162536140997,0.7964424514843098,False
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.20800000000000002,0.027600000000000003,0.3607595033951783,-4499.099999999999,5412.0,0.308,9,low_automation,6,8.099874798786288,Wholesale and retail trade; repair of motor vehicles and motorcycles,0,1.4667188749938782,6.63315592379241,True
H,Transportation and storage,0.29900000000000004,0.025012499999999997,0.34591615685895394,-56.699999999999996,2671.9,0.39479999999999993,4,low_automation,0,2.568715231988811,Transportation and storage,0,1.1998035657326676,1.3689116662561434,False
I,Accommodation and food service activities,0.36,0.041525,0.26566271475477227,-8496.0,10111.25,0.22949999999999998,9,low_automation,6,7.703651563448952,Accommodation and food service activities,6,0.0,7.703651563448952,False
J,Information and communication,0.24200000000000002,0.02775,0.3754493602254778,9771.0,12048.75,0.25935,1,low_automation,4,1.1994844482753895,Information and communication,4,1.0928808697709576,0.10660357850443192,False
K,Financial and insurance activities,0.17,0.03255,0.23015486680762068,10588.0,8850.45,0.3059,4,low_automation,1,2.4349718795421476,Financial and insurance activities,1,1.3504668954170138,1.0845049841251337,False
L,Real estate activities,0.14300000000000002,0.023,0.313633623140543,-2287.0,668.85,0.26789999999999997,9,low_automation,5,8.314908533261,Real estate activities,5,1.2056028533324883,7.109305679928513,False
M,"Professional, scientific and technical activities",0.198,0.029249999999999998,0.3095906944953731,6491.0,11817.75,0.2432,1,low_automation,4,0.6108312569921346,"Professional, scientific and technical activities",4,0.673564952587291,-0.0627336955951564,False
N,Administrative and support service activities,0.42900000000000005,0.026449999999999998,0.3658603912085385,-3566.7,11962.500000000002,0.2618,4,low_automation,6,3.4680918666305764,Administrative and support service activities,0,1.7573696422886493,1.7107222243419271,True
O,Public administration and defence; compulsory social security,0.06,0.024,0.20181087978601484,1842.0,517.0,0.24075000000000002,1,low_automation,3,1.8175398030250416,Public administration and defence; compulsory social security,3,1.3484009720792798,0.4691388309457618,False
P,Education,0.132,0.02,0.3696373661899575,1400.0,8923.95,0.08075,9,low_automation,2,8.315767059509477,Education,5,1.2986169724782062,7.017150087031271,True
Q,Human health and social work activities,0.3,0.036025,0.3046290602191995,-2491.2,35072.5,0.153,9,low_automation,2,7.945590185434772,Human health and social work activities,2,1.2771172093973293,6.668472976037442,False
R,"Arts, entertainment and recreation",0.099,0.02025,0.26158055556882365,-4962.0,9447.9,0.21184999999999998,4,low_automation,5,2.3856908354862685,"Arts, entertainment and recreation",5,1.5804447532811314,0.805246082205137,False
S,Other service activities,0.22000000000000003,0.02675,0.32466570547164353,-5270.0,10158.75,0.1767,1,low_automation,4,1.4284275199320604,Other service activities,4,1.3842110621734736,0.04421645775858685,False
